conversation_history	rewrited_query	answer	device_response	unique_idx	candidates
[]	I need a PDF for storing my blueprints. Please create one named 'Blueprint.pdf'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Blueprint.pdf'}}	Okay, I've created a PDF document for your blueprints. You can access it at content://documents/Blueprint.pdf.	ACTION_CREATE_DOCUMENT-41	['ACTION_PICK', 'ACTION_INSERT_CONTACT', 'open_settings', 'ACTION_CREATE_DOCUMENT', 'ACTION_IMAGE_CAPTURE']
[]	Can you create a document in PDF format? I want to name it 'Brochure.pdf'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Brochure.pdf'}}	I'm on it! A new PDF file named 'Brochure.pdf' has been created. It's available at content://example/uri.	ACTION_CREATE_DOCUMENT-8	['ACTION_EDIT_CONTACT', 'ACTION_GET_CONTENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'INTENT_ACTION_VIDEO_CAMERA']
[]	Please generate a PDF document for me named 'Resume.pdf'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Resume.pdf'}}	No problem, creating 'Resume.pdf' now. You can find it at content://documents/Resume.pdf.	ACTION_CREATE_DOCUMENT-2	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'ACTION_VIDEO_CAPTURE', 'get_contact_info_from_uri', 'ACTION_SET_ALARM']
[]	I need you to prepare a new plain text document called 'Report.txt'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Report.txt'}}	OK, I've created 'Report.txt'. The file is located at content://example/uri.	ACTION_CREATE_DOCUMENT-48	['ACTION_CREATE_DOCUMENT', 'ACTION_PICK', 'INTENT_ACTION_VIDEO_CAMERA', 'web_search', 'get_contact_info_from_uri']
[]	Please help me by setting up a plain text file called 'Notes.txt'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Notes.txt'}}	I've set up a plain text file called 'Notes.txt' for you. The URI is content://documents/Notes.txt.	ACTION_CREATE_DOCUMENT-18	['ACTION_CREATE_DOCUMENT', 'ACTION_PICK', 'ACTION_SET_ALARM', 'ACTION_GET_RINGTONE', 'get_contact_info']
[]	I need a new text file; please create one with the name 'DraftProposal.txt'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'DraftProposal.txt'}}	Okay, I've created a new text file called 'DraftProposal.txt'. You can access it via content://documents/DraftProposal.txt.	ACTION_CREATE_DOCUMENT-16	['send_email', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'ACTION_PICK', 'ACTION_IMAGE_CAPTURE']
[]	Can you create a document in PDF format? I'd like it named 'Budget.pdf' for tracking my expenses.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Budget.pdf'}}	Alright, I've created a PDF document named 'Budget.pdf'. It's located at content://documents/Budget.pdf.	ACTION_CREATE_DOCUMENT-15	['ACTION_GET_CONTENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_CONTACT', 'ACTION_CREATE_DOCUMENT']
[]	Generate a simple text file named 'ToDoList.txt' so I can jot down my tasks.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'ToDoList.txt'}}	No problem, 'ToDoList.txt' has been created. You can start adding tasks to it at content://documents/ToDoList.txt.	ACTION_CREATE_DOCUMENT-9	['ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'dial', 'ACTION_SET_TIMER', 'ACTION_GET_CONTENT']
[]	I'd like to start a new document; please generate a PDF version called 'Contract.pdf'.	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Contract.pdf'}}	Creating your PDF document 'Contract.pdf'. The file is located at content://documents/Contract.pdf.	ACTION_CREATE_DOCUMENT-7	['ACTION_IMAGE_CAPTURE', 'ACTION_CREATE_DOCUMENT', 'web_search', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_PICK']
[]	Can you draft a plain text file called 'Brainstorm.txt' for my ideas?	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Brainstorm.txt'}}	Sure, I've set up a 'Brainstorm.txt' file for you. It's available at content://example/uri.	ACTION_CREATE_DOCUMENT-44	['dial', 'ACTION_CREATE_DOCUMENT', 'ACTION_PICK', 'ACTION_SHOW_ALARMS', 'ACTION_SET_ALARM']
