Query	answer	candidates
Can I find academic research papers on this topic?	{'plan': 'ResearchHelper', 'arguments': {}}	['clinical_trial_radar', 'ResearchHelper', 'locator', 'ResumeTool', 'ProductSearch']
Can I find any peer-reviewed papers?	{'plan': 'ResearchHelper', 'arguments': {}}	['clinical_trial_radar', 'WebsiteTool', 'deployscript', 'tira', 'ResearchHelper']
Can I generate bibtex bibliographies?	{'plan': 'ResearchHelper', 'arguments': {}}	['ResearchHelper', 'shimmer_daily', 'BookTool', 'ProductComparison', 'Discount']
Can I use Crossref with Chatbot?	{'plan': 'ResearchHelper', 'arguments': {}}	['kraftful', 'search', 'ResearchHelper', 'ApexMap', 'Puzzle_Constructor']
Can you answer a question about a research paper using an Arxiv ID?	{'plan': 'ResearchHelper', 'arguments': {}}	['ResearchHelper', 'SEOTool', 'what_to_watch', 'DataRetrievalTool', 'uberchord']
Can you fetch me PDFs about a given ML topic?	{'plan': 'ResearchFinder', 'arguments': {}}	['TicTacToe', 'Man_of_Many', 'ResearchFinder', 'WebsiteTool', 'shimmer_daily']
Can you fetch me the latest research paper on [topic]?	{'plan': 'ResearchFinder', 'arguments': {}}	['chat_with_workspace', 'ResearchFinder', 'stellarexplorer', 'diceroller', 'CourseTool']
Can you find me the most recent paper on [topic]?	{'plan': 'ResearchFinder', 'arguments': {}}	['recipe_retrieval', 'Checkers', 'ResearchFinder', 'qreator', 'hackit_web_scanner']
Can you find papers related to ML on a given topic?	{'plan': 'ResearchFinder', 'arguments': {}}	['timeport', 'ResearchFinder', 'C3_Glide', 'CourseTool', 'Chess']
Can you give me the latest research paper on [topic]?	{'plan': 'ResearchFinder', 'arguments': {}}	['Substack_IQ', 'ResearchFinder', 'AusSurfReport', 'ImageSearch', 'seoanalysis']
Can you help me automate my content marketing tasks?	{'plan': 'SEOTool', 'arguments': {}}	['search', 'SEOTool', 'Creaticode_Extension_of_MIT_Scratch', 'LarkBaseImporter', 'SASpeedCameras']
Can you help me find the best keywords for my website?	{'plan': 'SEOTool', 'arguments': {}}	['NASATool', 'AppyPieAIAppBuilder', 'Substack_IQ', 'copywriter', 'SEOTool']
Can you help me generate posts for my website?	{'plan': 'SEOTool', 'arguments': {}}	['SEOTool', 'AusPetrolPrices', 'GiftTool', 'ProductComparison', 'Chess']
Can you help me generate SEO content for my website?	{'plan': 'SEOTool', 'arguments': {}}	['Broadway', 'kraftful', 'SEOTool', 'Horoscopes_by_Inner_Self', 'bramework']
Can you help me get insights by providing a URL and keyword?	{'plan': 'SEOTool', 'arguments': {}}	['MapTool', 'chat_with_workspace', 'crafty_clues', 'MemoryTool', 'SEOTool']
I'm furious! I need to find a house in a safe neighborhood with good schools. Can you help me with that? 	{'plan': 'HousePurchasingTool', 'arguments': {}}	['HousePurchasingTool', 'champdex', 'chatspot', 'themeparkhipster', 'word_counter']
I can't believe this! I want to know the average property prices in my city. Provide me with that information immediately! 	{'plan': 'HousePurchasingTool', 'arguments': {}}	['HousePurchasingTool', 'hackit_web_scanner', 'ExchangeTool', 'ResumeTool', 'DataRetrievalTool']
I'm so angry right now! I need to find an apartment near my workplace. Show me the available options nearby! 	{'plan': 'HousePurchasingTool', 'arguments': {}}	['ndricks_sports_api', 'buildbetter', 'blockatlas', 'Magnetis', 'HousePurchasingTool']
This is unacceptable! I want to know the average rent prices in my area. Give me the details now! 	{'plan': 'HouseRentingTool', 'arguments': {}}	['Creaticode_Extension_of_MIT_Scratch', 'HouseRentingTool', 'MixerBox_Translate_AI_language_tutor', 'KalendarAI', 'form']
I'm absolutely furious! I need to find a real estate agent who specializes in luxury homes. Find me the best one in town!	{'plan': 'HousePurchasingTool', 'arguments': {}}	['Talkface_IELTS_Prep', 'DataRetrievalTool', 'HousePurchasingTool', 'seoanalysis', 'ResearchHelper']
I can't find any good properties in Mallorca, your AI-Power better be worth it!	{'plan': 'HousePurchasingTool', 'arguments': {}}	['locator', 'MixerBox_WebSearchG_web_search', 'hackit_web_scanner', 'heygen', 'HousePurchasingTool']
I can't find any good rental properties in Japan. 	{'plan': 'HouseRentingTool', 'arguments': {}}	['blockatlas', 'HouseRentingTool', 'NASATool', 'decision_journal', 'Man_of_Many']
Why are all the rental properties in Japan so expensive? 	{'plan': 'HouseRentingTool', 'arguments': {}}	['EmailByNylas', 'HouseRentingTool', 'SummarizeAnything_pr', 'champdex', 'ResumeTool']
Ugh, finding a rental property in Japan is so frustrating!	{'plan': 'HouseRentingTool', 'arguments': {}}	['brandfetch', 'PolishTool', 'CharityTool', 'ad4mat', 'HouseRentingTool']
I am furious! I need help finding a rental home in Los Angeles with 3 bedrooms and 2 bathrooms under $3000 per month.	{'plan': 'HouseRentingTool', 'arguments': {}}	['StrologyTool', 'chat_with_workspace', 'talkfpl', 'blockatlas', 'HouseRentingTool']
I can't believe how terrible the service was at the restaurant I went to today. Can you recommend any good restaurants near me? 	{'plan': 'local', 'arguments': {}}	['mini_habits', 'PDF_Exporter', 'local', 'LarkBaseImporter', 'word_counter']
I'm so frustrated with the quality of the products I bought online. Are there any good shops nearby where I can get reliable products? 	{'plan': 'local', 'arguments': {}}	['crafty_clues', 'MediaModifyTool', 'local', 'CompanyInfoTool', 'Planfit']
This new gadget I bought is not working at all! Are there any nearby services that can help me fix it? 	{'plan': 'local', 'arguments': {}}	['TripAdviceTool', 'ResearchFinder', 'local', 'themeparkhipster', 'rephrase']
I'm exhausted from cooking at home every day. Can you suggest any good restaurants in my area that offer takeout or delivery? 	{'plan': 'local', 'arguments': {}}	['TripAdviceTool', 'local', 'exportchat', 'AI2sql', 'copilot']
I'm tired of doing household repairs myself. Is there any nearby shop where I can find tools and equipment for home repairs?	{'plan': 'local', 'arguments': {}}	['SuperchargeMyEV', 'cloudflare_radar', 'local', 'lsongai', 'assetOvi']
I can't find any restaurants in Japan that have availability for reservations.	{'plan': 'RestaurantBookingTool', 'arguments': {}}	['wpinteract', 'DietTool', 'website_performance_insights', 'RestaurantBookingTool', 'clinq']
Where can I make a reservation at a restaurant in Japan?	{'plan': 'RestaurantBookingTool', 'arguments': {}}	['RestaurantBookingTool', 'IndoorPlants', 'smarttsicketsai', 'MusicTool', 'dart']
I want to find a restaurant in Japan that I can book a table at.	{'plan': 'RestaurantBookingTool', 'arguments': {}}	['Agones', 'crafty_clues', 'MemeTool', 'calculator', 'RestaurantBookingTool']
Why is it so hard to find a restaurant in Japan that takes reservations?	{'plan': 'RestaurantBookingTool', 'arguments': {}}	['ImageSearch', 'RestaurantBookingTool', 'copywriter', 'crafty_clues', 'RoboAd']
All the restaurants in Japan are fully booked.	{'plan': 'RestaurantBookingTool', 'arguments': {}}	['decision_journal', 'HousePurchasingTool', 'RestaurantBookingTool', 'ApexMap', 'FinanceTool']
Can you assist me by conducting a thorough search to find startups that are currently available for sale in the market?	{'plan': 'ProductSearch', 'arguments': {}}	['Broadway', 'ProductSearch', 'word_counter', 'web_requests', 'brandfetch']
I'm looking to buy a startup in the tech industry that specializes in software development or artificial intelligence. Can you provide me with some established, profitable options with a strong customer base and potential for growth?	{'plan': 'ProductSearch', 'arguments': {}}	['chat_with_workspace', 'seoanalysis', 'AutoInfra1', 'ProductSearch', 'ChatOCR']
I am looking for a trustworthy and user-friendly platform that specifically caters to my needs of browsing and exploring startups that are available for sale.	{'plan': 'ProductSearch', 'arguments': {}}	['QuiverQuantitative', 'shimmer_daily', 'GiftTool', 'qreator', 'ProductSearch']
I am in need of immediate, comprehensive assistance from an expert in the field of market research and startup acquisition. Specifically, I require your expertise in locating and providing detailed information on a wide range of startups that are currently open and actively seeking acquisition opportunities.	{'plan': 'ProductSearch', 'arguments': {}}	['AbleStyle', 'chatspot', 'GiftTool', 'FinanceTool', 'ProductSearch']
Could you suggest a plugin that offers a comprehensive, categorized, and up-to-date list of startups available for purchase across various industries and regions?	{'plan': 'ProductSearch', 'arguments': {}}	['ProductSearch', 'Magnetis', 'ph_ai_news_query', 'dart', 'PolishTool']
Which reputable and well-known online shops offer the best discounts on a wide range of home appliances, including refrigerators, dishwashers, washing machines, and air conditioners, giving users the opportunity to save a significant amount of money while purchasing high-quality products?	{'plan': 'Discount', 'arguments': {}}	['Discount', 'Magnetis', 'ShoppingAssistant', 'recipe_retrieval', 'QuiverQuantitative']
Can you help me compare prices for smartphones in Australia?	{'plan': 'ProductComparison', 'arguments': {}}	['reflect_notes', 'ProductComparison', 'kraftful', 'hacktrack', 'LarkBaseImporter']
I'm looking for the best laptop deals. Could you find me some options with good discounts?	{'plan': 'Discount', 'arguments': {}}	['LarkBaseImporter', 'Discount', 'TripTool', 'smarttsicketsai', 'heygen']
I'm redecorating my living room and need a new sofa. Can you assist me in finding affordable options with good customer reviews?	{'plan': 'Review', 'arguments': {}}	['Review', 'MusicTool', 'mbti', 'word_sneak', 'jini']
I'm looking to buy a new pair of sneakers in a trendy style or color that provides excellent comfort and support for everyday use, preferably from a reputable brand.	{'plan': 'Discount', 'arguments': {}}	['hadith', 'Glowing', 'TripTool', 'Discount', 'PolishTool']
I want to purchase a new laptop with a high-performance processor, at least 16GB of RAM, a spacious solid-state drive, a high-resolution display, and a long-lasting battery.	{'plan': 'Discount', 'arguments': {}}	['magi_codex', 'TalentOrg', 'CranePumpsManuals', 'Puzzle_Constructor', 'Discount']
I'm planning to buy some home decor items such as curtains, rugs, wall art, decorative pillows, and indoor plants to enhance the aesthetic appeal of my living space.	{'plan': 'Discount', 'arguments': {}}	['WebsiteTool', 'chat_with_workspace', 'ChartTool', 'Discount', 'timeport']
I want to compare the prices, features, and reviews of various smart TVs available in the market, with a specific focus on their display quality, connectivity options, and smart functionalities, in order to make an informed decision and find the best value for my money.	{'plan': 'ProductComparison', 'arguments': {}}	['AppyPieAIAppBuilder', 'SASpeedCameras', 'ProductComparison', 'Bohita', 'stellarexplorer']
