query	candidates	generation	gt	plan	arguments	all	file
Can I find academic research papers on this topic?	['clinical_trial_radar', 'ResearchHelper', 'locator', 'ResumeTool', 'ProductSearch']	{'plan': 'ResearchHelper', 'arguments': {}}	{'plan': 'ResearchHelper', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I find any peer-reviewed papers?	['clinical_trial_radar', 'WebsiteTool', 'deployscript', 'tira', 'ResearchHelper']	{'plan': 'ResearchHelper', 'arguments': {}}	{'plan': 'ResearchHelper', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I generate bibtex bibliographies?	['ResearchHelper', 'shimmer_daily', 'BookTool', 'ProductComparison', 'Discount']	{'plan': 'ResearchHelper', 'arguments': {}}	{'plan': 'ResearchHelper', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can I use Crossref with Chatbot?	['kraftful', 'search', 'ResearchHelper', 'ApexMap', 'Puzzle_Constructor']	{'plan': 'ResearchHelper', 'arguments': {'query': 'Can I use Crossref with Chatbot'}}	{'plan': 'ResearchHelper', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you answer a question about a research paper using an Arxiv ID?	['ResearchHelper', 'SEOTool', 'what_to_watch', 'DataRetrievalTool', 'uberchord']	{'plan': 'ResearchHelper', 'arguments': {}}	{'plan': 'ResearchHelper', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you fetch me PDFs about a given ML topic?	['TicTacToe', 'Man_of_Many', 'ResearchFinder', 'WebsiteTool', 'shimmer_daily']	{'plan': 'ResearchFinder', 'arguments': {}}	{'plan': 'ResearchFinder', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you fetch me the latest research paper on [topic]?	['chat_with_workspace', 'ResearchFinder', 'stellarexplorer', 'diceroller', 'CourseTool']	{'plan': 'ResearchFinder', 'arguments': {'topic': '[topic]'}}	{'plan': 'ResearchFinder', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you find me the most recent paper on [topic]?	['recipe_retrieval', 'Checkers', 'ResearchFinder', 'qreator', 'hackit_web_scanner']	{'plan': 'researcher', 'arguments': {'query': '[topic]'}}	{'plan': 'ResearchFinder', 'arguments': {}}	fail	fail	fail	metatool_testset.tsv
Can you find papers related to ML on a given topic?	['timeport', 'ResearchFinder', 'C3_Glide', 'CourseTool', 'Chess']	{'plan': 'ResearchFinder', 'arguments': {'query': 'papers related to ML on a given topic'}}	{'plan': 'ResearchFinder', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you give me the latest research paper on [topic]?	['Substack_IQ', 'ResearchFinder', 'AusSurfReport', 'ImageSearch', 'seoanalysis']	{'plan': 'ResearchFinder', 'arguments': {'topic': '[topic]'}}	{'plan': 'ResearchFinder', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Can you help me automate my content marketing tasks?	['search', 'SEOTool', 'Creaticode_Extension_of_MIT_Scratch', 'LarkBaseImporter', 'SASpeedCameras']	{'plan': 'SEOTool', 'arguments': {}}	{'plan': 'SEOTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you help me find the best keywords for my website?	['NASATool', 'AppyPieAIAppBuilder', 'Substack_IQ', 'copywriter', 'SEOTool']	{'plan': 'SEOTool', 'arguments': {}}	{'plan': 'SEOTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you help me generate posts for my website?	['SEOTool', 'AusPetrolPrices', 'GiftTool', 'ProductComparison', 'Chess']	{'plan': 'SEOTool', 'arguments': {}}	{'plan': 'SEOTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you help me generate SEO content for my website?	['Broadway', 'kraftful', 'SEOTool', 'Horoscopes_by_Inner_Self', 'bramework']	{'plan': 'SEOTool', 'arguments': {}}	{'plan': 'SEOTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Can you help me get insights by providing a URL and keyword?	['MapTool', 'chat_with_workspace', 'crafty_clues', 'MemoryTool', 'SEOTool']	{'plan': 'SEOTool', 'arguments': {'url': None, 'keyword': None}}	{'plan': 'SEOTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm furious! I need to find a house in a safe neighborhood with good schools. Can you help me with that? 	['HousePurchasingTool', 'champdex', 'chatspot', 'themeparkhipster', 'word_counter']	{'plan': 'HousePurchasingTool', 'arguments': {}}	{'plan': 'HousePurchasingTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I can't believe this! I want to know the average property prices in my city. Provide me with that information immediately! 	['HousePurchasingTool', 'hackit_web_scanner', 'ExchangeTool', 'ResumeTool', 'DataRetrievalTool']	{'plan': 'HousePurchasingTool', 'arguments': {'city': 'your city'}}	{'plan': 'HousePurchasingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I'm so angry right now! I need to find an apartment near my workplace. Show me the available options nearby! 	['ndricks_sports_api', 'buildbetter', 'blockatlas', 'Magnetis', 'HousePurchasingTool']	{'plan': 'HousePurchasingTool', 'arguments': {'location': 'near my workplace'}}	{'plan': 'HousePurchasingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
This is unacceptable! I want to know the average rent prices in my area. Give me the details now! 	['Creaticode_Extension_of_MIT_Scratch', 'HouseRentingTool', 'MixerBox_Translate_AI_language_tutor', 'KalendarAI', 'form']	{'plan': 'HouseRentingTool', 'arguments': {}}	{'plan': 'HouseRentingTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I'm absolutely furious! I need to find a real estate agent who specializes in luxury homes. Find me the best one in town!	['Talkface_IELTS_Prep', 'DataRetrievalTool', 'HousePurchasingTool', 'seoanalysis', 'ResearchHelper']	{'plan': 'HousePurchasingTool', 'arguments': {}}	{'plan': 'HousePurchasingTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I can't find any good properties in Mallorca, your AI-Power better be worth it!	['locator', 'MixerBox_WebSearchG_web_search', 'hackit_web_scanner', 'heygen', 'HousePurchasingTool']	{'plan': 'HousePurchasingTool', 'arguments': {'location': 'Mallorca'}}	{'plan': 'HousePurchasingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
I can't find any good rental properties in Japan. 	['blockatlas', 'HouseRentingTool', 'NASATool', 'decision_journal', 'Man_of_Many']	{'plan': 'HouseRentingTool', 'arguments': {'location': 'Japan'}}	{'plan': 'HouseRentingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
Why are all the rental properties in Japan so expensive? 	['EmailByNylas', 'HouseRentingTool', 'SummarizeAnything_pr', 'champdex', 'ResumeTool']	{'plan': 'HouseRentingTool', 'arguments': {}}	{'plan': 'HouseRentingTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
Ugh, finding a rental property in Japan is so frustrating!	['brandfetch', 'PolishTool', 'CharityTool', 'ad4mat', 'HouseRentingTool']	{'plan': 'HouseRentingTool', 'arguments': {}}	{'plan': 'HouseRentingTool', 'arguments': {}}	pass	pass	pass	metatool_testset.tsv
I am furious! I need help finding a rental home in Los Angeles with 3 bedrooms and 2 bathrooms under $3000 per month.	['StrologyTool', 'chat_with_workspace', 'talkfpl', 'blockatlas', 'HouseRentingTool']	{'plan': 'HouseRentingTool', 'arguments': {'location': 'Los Angeles', 'bedrooms': 3, 'bathrooms': 2, 'max_price': 3000}}	{'plan': 'HouseRentingTool', 'arguments': {}}	pass	fail	fail	metatool_testset.tsv
