conversation_history	query	rewrited_query	answer	unique_idx	candidates
"[""turn 1: Open the system's photo camera interface. -> Photo camera interface opened. Ready when you are!""]"	I need to modify the document at content://texts/story; no additional content is required.	I need to modify the document at content://texts/story; no additional content is required.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://texts/story'}}	INTENT_ACTION_STILL_IMAGE_CAMERA-862-ACTION_EDIT_DOCUMENT-1_NR	['ACTION_GET_CONTENT', 'ACTION_IMAGE_CAPTURE', 'launch_application', 'ACTION_EDIT_DOCUMENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA']
['turn 1: Timer for 20 seconds, message quick exercise. -> Timer set for 20 seconds: quick exercise.']	Could you open content://reports/monthly to edit it? I want to add 'Update for March' before starting.	Could you open content://reports/monthly to edit content://reports/monthly? I want to add 'Update for March' before starting.	{'plan': 'ACTION_EDIT_DOCUMENT', 'arguments': {'document_uri': 'content://reports/monthly', 'content': 'Update for March'}}	ACTION_SET_TIMER-608-ACTION_EDIT_DOCUMENT-1_NR	['ACTION_EDIT_DOCUMENT', 'ACTION_OPEN_CONTENT', 'ACTION_NAVIGATE_TO_LOCATION', 'dial', 'ACTION_VIEW_SENT_EMAILS']
"[""turn 1: Send an email to info@museum.org inquiring about group tour rates. Subject: 'Group Tour Inquiry'. -> Your inquiry on group tour rates has been emailed to info@museum.org under the subject “Group Tour Inquiry.”""]"	Initiate an alarm at 20:40 with a ringtone from https://example.org/ringtone.mp3.	Initiate an alarm at 20:40 with a ringtone from https://example.org/ringtone.mp3.	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 20, 'EXTRA_MINUTES': 40, 'EXTRA_RINGTONE': 'https://example.org/ringtone.mp3'}}	send_email-1240-ACTION_SET_ALARM-1_NR	['ACTION_VIEW_RECENT_APPS', 'get_contact_info', 'ACTION_SET_ALARM', 'search_location', 'ACTION_CREATE_DOCUMENT']
['turn 1: Could you get the technical support extension at content://contacts/888/phone_support_ext? -> Technical support extension: 1-800-555-0123 ext. 789.']	Can you set an alarm for 13:05 labeled 'Lunchtime' and disable vibrations?	Can you set an alarm for 13:05 labeled 'Lunchtime' and disable vibrations?	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 13, 'EXTRA_MINUTES': 5, 'EXTRA_MESSAGE': 'Lunchtime', 'EXTRA_VIBRATE': False}}	get_contact_info_from_uri-1062-ACTION_SET_ALARM-1_NR	['ACTION_SET_ALARM', 'ACTION_GET_RINGTONE', 'ACTION_SET_TIMER', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_INSERT_EVENT']
"[""turn 1: I want to check my browser history. -> Got it, here's your browser history: Slack (workspace chat); NASA (news & updates); Wikipedia (Quantum Mechanics); Rotten Tomatoes (movie reviews)""]"	Set an alarm at 15:45 for 'Afternoon Workout' that repeats every Monday, Wednesday, and Friday.	Set an alarm at 15:45 for 'Afternoon Workout' that repeats every Monday, Wednesday, and Friday.	{'plan': 'ACTION_SET_ALARM', 'arguments': {'EXTRA_HOUR': 15, 'EXTRA_MINUTES': 45, 'EXTRA_MESSAGE': 'Afternoon Workout', 'EXTRA_DAYS': ['Monday', 'Wednesday', 'Friday']}}	ACTION_VIEW_WEB_HISTORY-2071-ACTION_SET_ALARM-1_NR	['ACTION_VIDEO_CAPTURE', 'play_music', 'open_settings', 'ACTION_VIEW_CONTACT', 'ACTION_SET_ALARM']
['turn 1: Open the ODT document at content://docs/thesis.odt -> Opening document thesis.odt from content://docs/thesis.odt.']	Switch my phone's ringtone over to content://media/fantasy_rhythm.	Switch my phone's ringtone over to content://media/fantasy_rhythm.	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/fantasy_rhythm'}}	ACTION_OPEN_CONTENT-260-ACTION_SET_RINGTONE-1_NR	['ACTION_SET_RINGTONE', 'ACTION_CREATE_DOCUMENT', 'send_email', 'open_settings', 'ACTION_SHOW_ALARMS']
['turn 1: Load event 181. -> Effective Communication training session on July 13 at 11:00\xa0AM in Conference Hall\xa0B.']	Please select content://media/glittering_tone as the ringtone for my device.	Please select content://media/glittering_tone as the ringtone for my device.	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/glittering_tone'}}	ACTION_VIEW_EVENT-1834-ACTION_SET_RINGTONE-1_NR	['ACTION_VIEW_CALL_LOG', 'ACTION_SHOW_TIMERS', 'ACTION_VIEW_CONTACT', 'ACTION_NAVIGATE_TO_LOCATION', 'ACTION_SET_RINGTONE']
['turn 1: Load content://archive/film.mp4 so I can manually adjust it. -> Opening content://archive/film.mp4 in edit mode—feel free to make any adjustments.']	Assign my ringtone as content://media/ethereal_sound.	Assign my ringtone as content://media/ethereal_sound.	{'plan': 'ACTION_SET_RINGTONE', 'arguments': {'ringtone_uri': 'content://media/ethereal_sound'}}	ACTION_EDIT_VIDEO-1725-ACTION_SET_RINGTONE-1_NR	['ACTION_SET_RINGTONE', 'ACTION_VIEW_CONTACT', 'ACTION_NAVIGATE_TO_LOCATION', 'get_contact_info', 'ACTION_PICK']
['turn 1: Start playing music on YouTube Music. -> Getting YouTube Music ready for you.']	Display a summary of my currently running timers.	Display a summary of my currently running timers.	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	play_music-1360-ACTION_SHOW_TIMERS-1_NR	['ACTION_SET_RINGTONE', 'web_search', 'play_music', 'ACTION_INSERT_EVENT', 'ACTION_SHOW_TIMERS']
['turn 1: I want to cut segment from 0 to 7 seconds in content://kids/cartoon.mp4 -> Your cartoon clip is set to play from 0 to 7 seconds—video loaded with that segment.']	Would it be possible to see which timers are still active?	Would it be possible to see which timers are still active?	{'plan': 'ACTION_SHOW_TIMERS', 'arguments': {}}	ACTION_EDIT_VIDEO-1724-ACTION_SHOW_TIMERS-1_NR	['ACTION_EDIT_DOCUMENT', 'ACTION_VIEW_WEB_HISTORY', 'play_video', 'ACTION_SHOW_TIMERS', 'ACTION_GET_CONTENT']
