conversation_history	query	rewrited_query	candidates	generation	gt	plan	arguments	all	file
[]	I need a PDF for storing my blueprints. Please create one named 'Blueprint.pdf'.	I need a PDF for storing my blueprints. Please create one named 'Blueprint.pdf'.	['ACTION_PICK', 'ACTION_INSERT_CONTACT', 'open_settings', 'ACTION_CREATE_DOCUMENT', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Blueprint.pdf'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Blueprint.pdf'}}	pass	pass	pass	droidcall_tc.tsv
[]	Can you create a document in PDF format? I want to name it 'Brochure.pdf'.	Can you create a document in PDF format? I want to name it 'Brochure.pdf'.	['ACTION_EDIT_CONTACT', 'ACTION_GET_CONTENT', 'ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'INTENT_ACTION_VIDEO_CAMERA']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Brochure.pdf'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Brochure.pdf'}}	pass	pass	pass	droidcall_tc.tsv
[]	Please generate a PDF document for me named 'Resume.pdf'.	Please generate a PDF document for me named 'Resume.pdf'.	['ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'ACTION_VIDEO_CAPTURE', 'get_contact_info_from_uri', 'ACTION_SET_ALARM']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Resume.pdf'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Resume.pdf'}}	pass	pass	pass	droidcall_tc.tsv
[]	I need you to prepare a new plain text document called 'Report.txt'.	I need you to prepare a new plain text document called 'Report.txt'.	['ACTION_CREATE_DOCUMENT', 'ACTION_PICK', 'INTENT_ACTION_VIDEO_CAMERA', 'web_search', 'get_contact_info_from_uri']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Report.txt'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Report.txt'}}	pass	pass	pass	droidcall_tc.tsv
[]	Please help me by setting up a plain text file called 'Notes.txt'.	Please help me by setting up a plain text file called 'Notes.txt'.	['ACTION_CREATE_DOCUMENT', 'ACTION_PICK', 'ACTION_SET_ALARM', 'ACTION_GET_RINGTONE', 'get_contact_info']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Notes.txt'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Notes.txt'}}	pass	pass	pass	droidcall_tc.tsv
[]	I need a new text file; please create one with the name 'DraftProposal.txt'.	I need a new text file; please create one with the name 'DraftProposal.txt'.	['send_email', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIEW_CONTACT', 'ACTION_PICK', 'ACTION_IMAGE_CAPTURE']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'DraftProposal.txt'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'DraftProposal.txt'}}	pass	pass	pass	droidcall_tc.tsv
[]	Can you create a document in PDF format? I'd like it named 'Budget.pdf' for tracking my expenses.	Can you create a document in PDF format? I'd like it named 'Budget.pdf' for tracking my expenses.	['ACTION_GET_CONTENT', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_INSERT_EVENT', 'ACTION_EDIT_CONTACT', 'ACTION_CREATE_DOCUMENT']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Budget.pdf'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Budget.pdf'}}	pass	pass	pass	droidcall_tc.tsv
[]	Generate a simple text file named 'ToDoList.txt' so I can jot down my tasks.	Generate a simple text file named 'ToDoList.txt' so I can jot down my tasks.	['ACTION_CREATE_DOCUMENT', 'ACTION_SHOW_ALARMS', 'dial', 'ACTION_SET_TIMER', 'ACTION_GET_CONTENT']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'ToDoList.txt'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'ToDoList.txt'}}	pass	pass	pass	droidcall_tc.tsv
[]	I'd like to start a new document; please generate a PDF version called 'Contract.pdf'.	I'd like to start a new document; please generate a PDF version called 'Contract.pdf'.	['ACTION_IMAGE_CAPTURE', 'ACTION_CREATE_DOCUMENT', 'web_search', 'INTENT_ACTION_STILL_IMAGE_CAMERA', 'ACTION_PICK']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Contract.pdf'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'application/pdf', 'initial_name': 'Contract.pdf'}}	pass	pass	pass	droidcall_tc.tsv
[]	Can you draft a plain text file called 'Brainstorm.txt' for my ideas?	Can you draft a plain text file called 'Brainstorm.txt' for my ideas?	['dial', 'ACTION_CREATE_DOCUMENT', 'ACTION_PICK', 'ACTION_SHOW_ALARMS', 'ACTION_SET_ALARM']	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Brainstorm.txt'}}	{'plan': 'ACTION_CREATE_DOCUMENT', 'arguments': {'mime_type': 'text/plain', 'initial_name': 'Brainstorm.txt'}}	pass	pass	pass	droidcall_tc.tsv
[]	Revise contact information for Tim at content://contacts/people/tim by updating his email to timmy@digital.com and his phone to 222-444-6666.	Revise contact information for Tim at content://contacts/people/tim by updating his email to timmy@digital.com and his phone to 222-444-6666.	['send_message', 'get_contact_info_from_uri', 'send_email', 'search_location', 'ACTION_EDIT_CONTACT']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/tim', 'contact_info': {'email': 'timmy@digital.com', 'phone': '222-444-6666'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/tim', 'contact_info': {'email': 'timmy@digital.com', 'phone': '222-444-6666'}}}	pass	pass	pass	droidcall_tc.tsv
[]	Please update the contact at content://contacts/people/dylan with the address '101 Main Street'.	Please update the contact at content://contacts/people/dylan with the address '101 Main Street'.	['ACTION_EDIT_CONTACT', 'ACTION_CREATE_DOCUMENT', 'send_email', 'ACTION_SET_TIMER', 'ACTION_INSERT_EVENT']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/dylan', 'contact_info': {'address': '101 Main Street'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/dylan', 'contact_info': {'address': '101 Main Street'}}}	pass	pass	pass	droidcall_tc.tsv
[]	I want to open the edit interface for the contact at content://contacts/people/michael without any immediate changes.	I want to open the edit interface for the contact at content://contacts/people/michael without any immediate changes.	['web_search', 'ACTION_SET_ALARM', 'ACTION_EDIT_CONTACT', 'open_settings', 'send_email']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/michael'}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/michael'}}	pass	pass	pass	droidcall_tc.tsv
[]	Can you help modify the contact at content://contacts/people/mike? I need to update his company to MegaCorp and change his name to Michael.	Can you help modify the contact at content://contacts/people/mike? I need to update his company to MegaCorp and change his name to Michael.	['get_contact_info_from_uri', 'ACTION_CREATE_DOCUMENT', 'ACTION_VIDEO_CAPTURE', 'ACTION_EDIT_CONTACT', 'INTENT_ACTION_VIDEO_CAMERA']	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/mike', 'contact_info': {'company': 'MegaCorp', 'name': 'Michael'}}}	{'plan': 'ACTION_EDIT_CONTACT', 'arguments': {'contact_uri': 'content://contacts/people/mike', 'contact_info': {'company': 'MegaCorp', 'name': 'Michael'}}}	pass	pass	pass	droidcall_tc.tsv
